count,from,to,timeframe,start,end
218,fiscalidad1,iprofesional,101,2020-06-16 22:27:27,2020-06-17 14:47:05
219,fiscalidad1,ivansasovsky,101,2020-06-16 22:27:27,2020-06-17 14:47:05
220,maleodie,vtvnoticiasuy,102,2020-06-16 22:31:59,2020-06-17 14:47:05
221,maleodie,vtvuruguay,102,2020-06-16 22:31:59,2020-06-17 14:47:05
222,epidemia_59,iprofesional,103,2020-06-16 22:34:37,2020-06-17 14:47:05
223,epidemia_59,ivansasovsky,103,2020-06-16 22:34:37,2020-06-17 14:47:05
224,inito70,pbartol65,104,2020-06-16 22:37:42,2020-06-17 14:47:05
225,amir_y2j,covid19esp_,105,2020-06-16 22:37:43,2020-06-17 14:47:05
226,dicotomia7,ernesto_talvi,105,2020-06-16 22:37:43,2020-06-17 14:47:05
227,dicotomia7,cyrus_kuba,105,2020-06-16 22:37:43,2020-06-17 14:47:05
228,mlnogueira813,vtvnoticiasuy,106,2020-06-16 22:38:34,2020-06-17 14:47:05
229,mlnogueira813,vtvuruguay,106,2020-06-16 22:38:34,2020-06-17 14:47:05
230,grace4519,leocipriani20,107,2020-06-16 22:43:43,2020-06-17 14:47:05
231,grace4519,assecomunica,107,2020-06-16 22:43:43,2020-06-17 14:47:05
232,grace4519,tartagliaestefa,107,2020-06-16 22:43:43,2020-06-17 14:47:05
233,chelyrobles2677,americooficial,108,2020-06-16 22:45:16,2020-06-17 14:47:05
234,toledo_are,leocipriani20,109,2020-06-16 22:45:27,2020-06-17 14:47:05
235,toledo_are,assecomunica,109,2020-06-16 22:45:27,2020-06-17 14:47:05
236,toledo_are,tartagliaestefa,109,2020-06-16 22:45:27,2020-06-17 14:47:05
237,marcelo_campi_,djiglobal,110,2020-06-16 22:48:12,2020-06-17 14:47:05
238,cyrus_kuba,ernesto_talvi,111,2020-06-16 22:48:20,2020-06-17 14:47:05
239,cyrus_kuba,cyrus_kuba,111,2020-06-16 22:48:20,2020-06-17 14:47:05
240,fgallottasantin,bbcmundo,112,2020-06-16 22:53:04,2020-06-17 14:47:05
241,artigasgs,vtvnoticiasuy,113,2020-06-16 22:57:30,2020-06-17 14:47:05
242,artigasgs,vtvuruguay,113,2020-06-16 22:57:30,2020-06-17 14:47:05
243,pablo_urbiina,buquebus_ar,114,2020-06-16 23:04:26,2020-06-17 14:47:05
244,marcepatroncini,vermudeportivo,115,2020-06-16 23:07:22,2020-06-17 14:47:05
245,nancyto39508845,onu_es,116,2020-06-16 23:08:02,2020-06-17 14:47:05
246,nancyto39508845,agnescallamard,116,2020-06-16 23:08:02,2020-06-17 14:47:05
247,nancyto39508845,cvoule,116,2020-06-16 23:08:02,2020-06-17 14:47:05
248,nancyto39508845,davidakaye,116,2020-06-16 23:08:02,2020-06-17 14:47:05
249,superalitita,iprofesional,117,2020-06-16 23:08:31,2020-06-17 14:47:05
250,superalitita,ivansasovsky,117,2020-06-16 23:08:31,2020-06-17 14:47:05
251,vermudeportivo,marcepatroncini,118,2020-06-16 23:11:41,2020-06-17 14:47:05
252,pchaboteventos,camtururuguay,119,2020-06-16 23:16:14,2020-06-17 14:47:05
253,pchaboteventos,cardosogerman,119,2020-06-16 23:16:14,2020-06-17 14:47:05
254,pchaboteventos,audavi_,119,2020-06-16 23:16:14,2020-06-17 14:47:05
255,pchaboteventos,uruguay_natural,119,2020-06-16 23:16:14,2020-06-17 14:47:05
256,pchaboteventos,cr_jame,119,2020-06-16 23:16:14,2020-06-17 14:47:05
257,ipatrmv,cyrus_kuba,120,2020-06-16 23:23:30,2020-06-17 14:47:05
258,quibent,tartagliaestefa,121,2020-06-16 23:23:31,2020-06-17 14:47:05
259,quibent,leocipriani20,121,2020-06-16 23:23:31,2020-06-17 14:47:05
260,quibent,assecomunica,121,2020-06-16 23:23:31,2020-06-17 14:47:05
261,cubalib78491582,cyrus_kuba,122,2020-06-16 23:25:24,2020-06-17 14:47:05
262,cubalib78491582,ernesto_talvi,122,2020-06-16 23:25:24,2020-06-17 14:47:05
263,misteatrerosmx,estrellastreya2,123,2020-06-16 23:30:44,2020-06-17 14:47:05
264,misteatrerosmx,ruletadefamosos,123,2020-06-16 23:30:44,2020-06-17 14:47:05
265,misteatrerosmx,misteatrerosmx,123,2020-06-16 23:30:44,2020-06-17 14:47:05
266,misteatrerosmx,eltonecastv,123,2020-06-16 23:30:44,2020-06-17 14:47:05
267,misteatrerosmx,emirsahibguru,123,2020-06-16 23:30:44,2020-06-17 14:47:05
268,misteatrerosmx,toninho_amigo,123,2020-06-16 23:30:44,2020-06-17 14:47:05
269,misteatrerosmx,severoneta,123,2020-06-16 23:30:44,2020-06-17 14:47:05
270,el_negro_jara,faouruguay,124,2020-06-16 23:32:15,2020-06-17 14:47:05
271,el_negro_jara,vicenteplatafao,124,2020-06-16 23:32:15,2020-06-17 14:47:05
272,rodolfoacunah,ernesto_talvi,125,2020-06-16 23:33:39,2020-06-17 14:47:05
273,ruletadefamosos,severoneta,126,2020-06-16 23:36:51,2020-06-17 14:47:05
274,ruletadefamosos,estrellastreya2,126,2020-06-16 23:36:51,2020-06-17 14:47:05
275,ruletadefamosos,ruletadefamosos,126,2020-06-16 23:36:51,2020-06-17 14:47:05
276,ruletadefamosos,misteatrerosmx,126,2020-06-16 23:36:51,2020-06-17 14:47:05
277,ruletadefamosos,eltonecastv,126,2020-06-16 23:36:51,2020-06-17 14:47:05
278,ruletadefamosos,emirsahibguru,126,2020-06-16 23:36:51,2020-06-17 14:47:05
279,ruletadefamosos,toninho_amigo,126,2020-06-16 23:36:51,2020-06-17 14:47:05
280,profesorottati,profesorottati,127,2020-06-16 23:38:15,2020-06-17 14:47:05
281,profesorottati,jorgeottati,127,2020-06-16 23:38:15,2020-06-17 14:47:05
282,aclamattor,who,128,2020-06-16 23:39:59,2020-06-17 14:47:05
283,aclamattor,opsoms,128,2020-06-16 23:39:59,2020-06-17 14:47:05
284,ecuabot,opsoms,129,2020-06-16 23:40:03,2020-06-17 14:47:05
285,ecuabot,who,129,2020-06-16 23:40:03,2020-06-17 14:47:05
286,emirsahibguru,toninho_amigo,130,2020-06-16 23:41:58,2020-06-17 14:47:05
287,emirsahibguru,severoneta,130,2020-06-16 23:41:58,2020-06-17 14:47:05
288,emirsahibguru,estrellastreya2,130,2020-06-16 23:41:58,2020-06-17 14:47:05
289,emirsahibguru,ruletadefamosos,130,2020-06-16 23:41:58,2020-06-17 14:47:05
290,emirsahibguru,misteatrerosmx,130,2020-06-16 23:41:58,2020-06-17 14:47:05
291,emirsahibguru,eltonecastv,130,2020-06-16 23:41:58,2020-06-17 14:47:05
292,emirsahibguru,emirsahibguru,130,2020-06-16 23:41:58,2020-06-17 14:47:05
293,lizethmcuevas,who,131,2020-06-16 23:47:27,2020-06-17 14:47:05
294,lizethmcuevas,opsoms,131,2020-06-16 23:47:27,2020-06-17 14:47:05
295,tejeramirtha,vtvnoticiasuy,132,2020-06-16 23:52:31,2020-06-17 14:47:05
296,tejeramirtha,vtvuruguay,132,2020-06-16 23:52:31,2020-06-17 14:47:05
